Fuel status,Engine Load(%),Coolant temp(C),B1 STFT(%),B1 LTFT(%),Abs Intake MAP(kpa),Engine RPM(rpm),Vehicle speed(km/h),Timing advance,Intake air temp(C),Abs throttle pos(%),O2 B1S1 sensor voltage(V),STFT1,O2 B1S2 sensor voltage(V),beahavior
2,11.764706,81.0,6.25,14.84375,54.0,1892.0,39.0,-32.5,39.0,11.372549000000001,0.845,6.25,0.715,safe
2,11.764706,81.0,28.125,14.0625,53.0,1884.0,39.0,-32.5,39.0,11.764706,0.125,24.21875,0.715,safe
2,11.764706,81.0,8.59375,16.40625,54.0,1853.0,38.0,-33.5,39.0,10.980392,0.805,5.46875,0.715,safe
2,11.764706,81.0,21.875,19.53125,53.0,1826.0,38.0,-33.0,39.0,11.764706,0.595,26.5625,0.72,safe
2,12.941175999999999,82.0,0.0,15.625,57.0,1842.0,38.0,-35.0,39.0,12.156863000000001,0.795,3.125,0.725,safe
2,12.941175999999999,82.0,21.09375,16.40625,56.0,1864.0,38.0,-34.0,39.0,12.156863000000001,0.85,12.5,0.725,safe
2,12.941175999999999,82.0,16.40625,14.0625,56.0,1880.0,39.0,-34.0,39.0,12.156863000000001,0.76,21.875,0.73,safe
2,12.941175999999999,82.0,10.15625,13.28125,55.0,1891.0,39.0,-33.5,39.0,11.764706,0.13,15.625,0.73,safe
2,12.941175999999999,82.0,0.0,12.5,53.0,1906.0,39.0,-31.5,39.0,9.8039216,0.365,-10.15625,0.725,safe
2,9.8039216,82.0,8.59375,12.5,52.0,1891.0,39.0,-33.5,39.0,12.54902,0.805,25.78125,0.735,safe
2,14.901960999999998,82.0,14.84375,3.90625,61.0,1951.0,40.0,-35.0,39.0,13.333332999999998,0.125,13.28125,0.735,safe
2,14.901960999999998,82.0,3.90625,-4.6875,65.0,2006.0,42.0,-36.0,39.0,14.509804,0.22,2.34375,0.74,safe
2,17.647059,82.0,4.6875,-6.25,70.0,2103.0,43.0,-35.5,39.0,15.686275,0.435,2.34375,0.745,safe
2,17.647059,82.0,13.28125,-12.5,67.0,2191.0,45.0,-34.5,39.0,16.078431,0.16,7.8125,0.74,safe
2,18.823529,82.0,14.84375,-14.0625,67.0,2278.0,47.0,-34.0,39.0,16.470588,0.77,17.1875,0.745,safe
2,17.647059,82.0,0.0,9.375,26.0,1397.0,47.0,48.0,39.0,16.862745,0.07,7.03125,0.735,safe
2,14.901960999999998,83.0,20.3125,2.34375,67.0,1766.0,48.0,-38.0,39.0,13.725489999999999,0.84,19.53125,0.745,safe
2,15.686275,83.0,30.46875,7.03125,71.0,1807.0,49.0,-38.5,39.0,14.901960999999998,0.705,25.0,0.75,safe
2,16.862745,83.0,1.5625,3.90625,70.0,1859.0,51.0,-37.0,39.0,14.117647,0.265,-0.78125,0.75,safe
2,15.686275,83.0,11.71875,-4.6875,68.0,1893.0,52.0,-37.0,39.0,14.901960999999998,0.625,10.15625,0.755,safe
2,16.862745,83.0,22.65625,-6.25,68.0,1946.0,53.0,-37.0,39.0,14.509804,0.855,21.09375,0.76,safe
2,15.686275,83.0,-1.5625,-3.90625,66.0,1971.0,54.0,-35.5,39.0,12.941175999999999,0.44,-2.34375,0.76,safe
2,14.901960999999998,83.0,8.59375,0.78125,59.0,1968.0,54.0,-35.0,39.0,12.941175999999999,0.785,6.25,0.765,safe
2,14.901960999999998,83.0,21.875,9.375,53.0,1964.0,54.0,-27.0,39.0,9.411764699999999,0.18,4.6875,0.765,safe
2,7.8431372999999995,83.0,8.59375,-5.46875,43.0,1917.0,52.0,-30.0,39.0,11.372549000000001,0.16,-2.34375,0.77,safe
2,12.941175999999999,83.0,14.84375,12.5,54.0,1900.0,52.0,-30.5,39.0,9.019607800000001,0.525,10.15625,0.775,safe
2,7.8431372999999995,83.0,7.03125,-3.125,27.0,1846.0,50.0,-19.5,39.0,12.54902,0.93,-13.28125,0.795,safe
2,12.941175999999999,83.0,5.46875,19.53125,54.0,1825.0,50.0,-34.0,39.0,11.764706,0.14,14.0625,0.79,safe
2,11.764706,83.0,10.15625,15.625,57.0,1860.0,51.0,-34.5,39.0,12.156863000000001,0.245,5.46875,0.79,safe
2,12.941175999999999,83.0,3.90625,14.0625,55.0,1886.0,52.0,-34.0,39.0,12.54902,0.185,2.34375,0.79,safe
2,15.686275,83.0,10.15625,9.375,60.0,1907.0,52.0,-37.0,39.0,14.509804,0.11,18.75,0.79,safe
2,15.686275,83.0,7.8125,-3.125,66.0,1940.0,53.0,-36.5,39.0,14.509804,0.64,4.6875,0.795,safe
2,15.686275,83.0,10.9375,-3.90625,65.0,1958.0,54.0,-36.0,39.0,14.117647,0.81,8.59375,0.795,safe
2,15.686275,83.0,25.0,-3.90625,64.0,1972.0,54.0,-35.0,39.0,13.333332999999998,0.745,21.09375,0.795,safe
2,13.725489999999999,83.0,12.5,1.5625,58.0,1965.0,53.0,-32.5,39.0,11.764706,0.155,0.78125,0.795,safe
2,11.764706,83.0,-3.90625,10.15625,53.0,1958.0,54.0,-31.5,39.0,11.372549000000001,0.69,-3.90625,0.795,safe
2,11.764706,83.0,10.15625,9.375,50.0,1922.0,53.0,-31.5,39.0,10.980392,0.775,12.5,0.795,safe
2,5.8823529,83.0,25.78125,14.84375,50.0,1865.0,51.0,-38.0,39.0,16.078431,0.08,27.34375,0.795,safe
2,16.862745,83.0,14.84375,-3.125,69.0,1912.0,52.0,-37.0,39.0,14.901960999999998,0.775,12.5,0.8,safe
2,15.686275,83.0,24.21875,2.34375,61.0,1934.0,53.0,-35.5,39.0,12.941175999999999,0.84,14.84375,0.8,safe
2,13.725489999999999,83.0,17.96875,3.90625,61.0,1933.0,53.0,-35.5,39.0,13.333332999999998,0.33,23.4375,0.795,safe
2,14.901960999999998,83.0,-1.5625,-10.9375,23.0,1912.0,52.0,-49.0,38.0,1.9607843,0.88,0.0,0.815,safe
4,2.745098,83.0,0.0,30.46875,19.0,1666.0,45.0,-21.0,38.0,2.745098,0.01,0.0,0.475,safe
4,3.9215686,83.0,14.84375,71.09375,27.0,1359.0,37.0,47.0,38.0,3.9215686,0.635,-2.34375,0.815,safe
2,2.745098,83.0,4.6875,39.84375,41.0,994.0,26.0,-48.5,39.0,5.4901960999999995,0.055,5.46875,0.81,safe
2,3.9215686,83.0,-3.90625,35.15625,45.0,917.0,16.0,-61.5,39.0,3.9215686,0.095,10.9375,0.81,safe
2,4.7058824,83.0,0.78125,51.5625,51.0,953.0,11.0,-48.0,39.0,6.2745098,0.335,4.6875,0.81,safe
2,5.8823529,83.0,3.125,51.5625,52.0,1008.0,5.0,-56.5,39.0,6.2745098,0.21,3.90625,0.805,safe
2,12.941175999999999,85.0,12.5,39.0625,80.0,1510.0,8.0,-40.0,40.0,15.686275,0.775,25.78125,0.77,safe
2,16.862745,85.0,0.0,-1.5625,27.0,1373.0,14.0,-62.5,39.0,20.0,0.045,21.09375,0.75,safe
2,20.0,84.0,17.96875,17.96875,79.0,2089.0,22.0,-37.0,39.0,18.823529,0.415,8.59375,0.76,safe
2,22.745098000000002,83.0,0.0,-52.34375,30.0,1821.0,27.0,-59.0,39.0,12.941175999999999,0.09,-10.15625,0.755,safe
2,16.862745,83.0,29.6875,31.25,77.0,1860.0,29.0,-38.0,40.0,16.078431,0.635,1.5625,0.76,safe
2,18.823529,82.0,14.84375,4.6875,71.0,2146.0,34.0,-36.0,40.0,16.862745,0.81,20.3125,0.755,safe
2,20.0,82.0,35.15625,-10.15625,67.0,2416.0,38.0,-29.5,39.0,3.5294117999999997,0.88,0.0,0.775,safe
2,12.941175999999999,82.0,6.25,20.3125,64.0,1831.0,38.0,-38.0,40.0,15.686275,0.7,37.5,0.75,safe
2,16.862745,82.0,9.375,-3.90625,69.0,1973.0,41.0,-36.0,40.0,14.117647,0.75,3.125,0.755,safe
2,15.686275,83.0,24.21875,-9.375,61.0,2076.0,43.0,-33.5,40.0,13.725489999999999,0.765,25.78125,0.755,safe
2,14.901960999999998,83.0,19.53125,-17.1875,59.0,2163.0,45.0,-34.0,40.0,13.333332999999998,0.835,24.21875,0.75,safe
2,15.686275,82.0,31.25,-25.78125,60.0,2229.0,46.0,-33.0,40.0,15.294118,0.785,36.71875,0.755,safe
2,18.823529,82.0,29.6875,-17.96875,64.0,2327.0,48.0,-31.0,40.0,13.333332999999998,0.82,29.6875,0.75,safe
2,14.901960999999998,82.0,23.4375,-6.25,50.0,2402.0,50.0,-29.0,40.0,9.8039216,0.86,6.25,0.745,safe
4,2.745098,82.0,0.0,34.375,54.0,1806.0,48.0,-33.0,40.0,10.980392,0.2,25.78125,0.745,safe
2,11.764706,82.0,8.59375,23.4375,56.0,1783.0,49.0,-36.5,40.0,12.156863000000001,0.13,0.78125,0.745,safe
2,12.941175999999999,82.0,10.9375,14.84375,62.0,1782.0,49.0,-37.0,40.0,12.941175999999999,0.775,9.375,0.75,safe
2,13.725489999999999,82.0,15.625,14.0625,61.0,1815.0,50.0,-37.0,40.0,4.7058824,0.56,9.375,0.745,safe
2,4.7058824,83.0,3.90625,21.875,28.0,1726.0,47.0,59.0,40.0,7.0588235,0.36,-26.5625,0.75,safe
2,6.6666667,83.0,4.6875,24.21875,39.0,1463.0,40.0,48.5,40.0,6.6666667,0.775,16.40625,0.745,safe
2,5.8823529,83.0,27.34375,50.78125,41.0,1177.0,32.0,61.0,40.0,5.4901960999999995,0.755,0.78125,0.745,safe
2,3.9215686,83.0,11.71875,38.28125,48.0,911.0,25.0,-41.5,41.0,6.2745098,0.275,-1.5625,0.745,safe
2,5.8823529,83.0,-10.15625,51.5625,52.0,1004.0,17.0,-56.5,41.0,6.2745098,0.695,-1.5625,0.745,safe
2,5.8823529,83.0,4.6875,50.78125,52.0,1012.0,11.0,-55.0,41.0,6.2745098,0.095,5.46875,0.745,safe
2,5.8823529,84.0,-6.25,50.78125,52.0,999.0,5.0,-55.5,41.0,6.2745098,0.53,-5.46875,0.745,safe
2,5.8823529,84.0,8.59375,50.0,52.0,1004.0,1.0,-57.5,41.0,6.2745098,0.44,9.375,0.75,safe
2,10.980392,87.0,3.125,42.1875,79.0,978.0,6.0,-45.0,41.0,13.333332999999998,0.51,14.0625,0.74,safe
2,18.823529,87.0,11.71875,-61.71875,26.0,1789.0,13.0,-58.0,41.0,18.823529,0.19,-10.15625,0.76,safe
2,14.901960999999998,86.0,25.78125,29.6875,74.0,1756.0,18.0,-38.0,41.0,14.901960999999998,0.77,23.4375,0.755,safe
2,18.823529,85.0,20.3125,-7.8125,69.0,2304.0,25.0,-34.5,41.0,9.019607800000001,0.39,0.0,0.75,safe
4,6.6666667,85.0,-7.03125,24.21875,67.0,1619.0,26.0,-40.0,41.0,14.901960999999998,0.08,34.375,0.705,safe
2,15.686275,84.0,18.75,0.78125,70.0,1860.0,30.0,-37.5,41.0,14.901960999999998,0.755,14.0625,0.75,safe
2,17.647059,84.0,27.34375,-6.25,69.0,2117.0,34.0,-36.0,41.0,16.078431,0.755,30.46875,0.75,safe
2,18.823529,84.0,32.8125,-16.40625,65.0,2314.0,36.0,-34.5,41.0,16.470588,0.805,28.125,0.75,safe
2,17.647059,84.0,0.0,-5.46875,35.0,1845.0,39.0,-38.0,41.0,17.254901999999998,0.025,17.1875,0.705,safe
2,17.647059,84.0,23.4375,19.53125,74.0,1952.0,40.0,-38.0,41.0,16.078431,0.795,23.4375,0.75,safe
2,18.823529,85.0,12.5,5.46875,71.0,2085.0,43.0,-36.5,41.0,16.078431,0.135,20.3125,0.745,safe
2,18.823529,85.0,2.34375,-10.15625,69.0,2193.0,45.0,-35.5,41.0,15.686275,0.075,16.40625,0.74,safe
2,16.862745,85.0,9.375,-21.09375,57.0,2273.0,47.0,-32.0,41.0,14.117647,0.1,17.96875,0.74,safe
2,15.686275,85.0,13.28125,-17.1875,56.0,2323.0,48.0,-31.0,41.0,13.333332999999998,0.15,7.8125,0.735,safe
2,14.901960999999998,85.0,16.40625,-14.84375,57.0,2350.0,48.0,-32.0,41.0,14.117647,0.72,14.0625,0.735,safe
2,16.862745,85.0,24.21875,-17.96875,55.0,2394.0,49.0,-29.5,41.0,1.9607843,0.79,0.0,0.74,safe
4,2.745098,85.0,0.0,24.21875,52.0,1764.0,48.0,-20.0,41.0,1.5686275,0.47,34.375,0.46,safe
2,2.745098,85.0,9.375,32.8125,26.0,1693.0,46.0,-45.0,40.0,10.588235000000001,0.435,-22.65625,0.755,safe
2,10.980392,85.0,13.28125,27.34375,48.0,1700.0,47.0,62.0,41.0,7.0588235,0.315,8.59375,0.75,safe
2,5.8823529,85.0,19.53125,29.6875,47.0,1632.0,45.0,-33.0,41.0,8.235294099999999,0.085,12.5,0.76,safe
2,6.6666667,85.0,14.84375,16.40625,39.0,1524.0,42.0,-62.5,41.0,5.8823529,0.83,11.71875,0.78,safe
2,12.941175999999999,85.0,14.0625,-6.25,70.0,1999.0,41.0,-37.0,41.0,16.078431,0.81,16.40625,0.78,safe
2,17.647059,85.0,26.5625,-8.59375,68.0,2143.0,44.0,-36.0,41.0,15.686275,0.8,29.6875,0.78,safe
2,17.647059,85.0,32.8125,-22.65625,60.0,2252.0,47.0,-32.0,41.0,14.117647,0.82,25.78125,0.78,safe
2,13.725489999999999,85.0,11.71875,-40.625,39.0,2269.0,47.0,-20.0,41.0,5.4901960999999995,0.855,11.71875,0.765,safe
2,5.8823529,85.0,-14.84375,-64.84375,29.0,2153.0,45.0,-25.0,41.0,9.411764699999999,0.05,-1.5625,0.76,safe
2,9.8039216,85.0,12.5,-11.71875,42.0,2123.0,44.0,-28.0,41.0,8.627450999999999,0.73,9.375,0.76,safe
2,6.6666667,85.0,14.84375,-44.53125,22.0,2072.0,43.0,-18.5,41.0,6.6666667,0.845,-21.875,0.775,safe
2,6.6666667,85.0,-10.15625,-30.46875,26.0,2010.0,41.0,-53.0,41.0,2.745098,0.865,0.0,0.8,safe
4,2.745098,85.0,0.0,29.6875,21.0,1646.0,34.0,-55.5,41.0,7.0588235,0.49,-1.5625,0.775,safe
2,7.8431372999999995,85.0,28.125,25.78125,55.0,1822.0,28.0,-38.0,41.0,17.254901999999998,0.665,48.4375,0.78,safe
